# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
2.82018e-06     	T               	2.85193294e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00611905e+02	(5.00300000e-01 1.00000000e-01 1.00000000e-01)	1
3.4185e-06      	p               	9.99420482e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(7.30000000e-03 1.00000000e-01 1.00000000e-01)	0
3.4185e-06      	U               	(-1.33798929e-01 6.78591168e-17 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.85765664e+01 1.02057620e-14 1.02057620e-14)	(4.99300000e-01 1.00000000e-01 1.00000000e-01)	1
3.4185e-06      	T               	2.85219471e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00867799e+02	(5.00500000e-01 1.00000000e-01 1.00000000e-01)	2
4.07665e-06     	p               	9.99298593e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(4.33000000e-02 1.00000000e-01 1.00000000e-01)	0
4.07665e-06     	U               	(-1.60805225e-01 7.49544624e-17 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(2.06897924e+01 6.26974995e-15 6.26974995e-15)	(4.99300000e-01 1.00000000e-01 1.00000000e-01)	1
4.07665e-06     	T               	2.85240810e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00874200e+02	(5.00500000e-01 1.00000000e-01 1.00000000e-01)	2
4.81707e-06     	p               	9.99161667e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.00100000e-01 1.00000000e-01 1.00000000e-01)	0
4.81707e-06     	U               	(-1.91206389e-01 8.43692856e-17 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(5.45308189e+00 3.88359851e-15 3.88359851e-15)	(4.98100000e-01 1.00000000e-01 1.00000000e-01)	1
4.81707e-06     	T               	2.85265506e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00878128e+02	(5.00700000e-01 1.00000000e-01 1.00000000e-01)	2
5.68089e-06     	p               	9.99000530e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.29300000e-01 1.00000000e-01 1.00000000e-01)	0
5.68089e-06     	U               	(-2.26573611e-01 9.81381183e-17 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(9.38181110e+00 5.60293676e-15 5.60293676e-15)	(4.98100000e-01 1.00000000e-01 1.00000000e-01)	1
5.68089e-06     	T               	2.85289608e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00881436e+02	(5.00700000e-01 1.00000000e-01 1.00000000e-01)	2
6.54471e-06     	p               	9.98844715e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.27000000e-02 1.00000000e-01 1.00000000e-01)	0
6.54471e-06     	U               	(-2.62423522e-01 9.94687556e-17 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.32807352e+01 5.65286696e-15 5.65286696e-15)	(4.98100000e-01 1.00000000e-01 1.00000000e-01)	1
6.54471e-06     	T               	2.85305943e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00862482e+02	(5.00900000e-01 1.00000000e-01 1.00000000e-01)	2
7.40853e-06     	p               	9.98692437e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.19000000e-02 1.00000000e-01 1.00000000e-01)	0
7.40853e-06     	U               	(-2.98560926e-01 1.00258338e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(3.89410717e+00 5.16585671e-15 5.16585671e-15)	(4.96900000e-01 1.00000000e-01 1.00000000e-01)	1
7.40853e-06     	T               	2.85317773e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00860709e+02	(5.00900000e-01 1.00000000e-01 1.00000000e-01)	2
8.27236e-06     	p               	9.98542065e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.37300000e-01 1.00000000e-01 1.00000000e-01)	0
8.27236e-06     	U               	(-3.34852227e-01 1.00678007e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(6.30948639e+00 6.82082530e-15 6.82082530e-15)	(4.96900000e-01 1.00000000e-01 1.00000000e-01)	1
8.27236e-06     	T               	2.85327959e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00853960e+02	(5.00900000e-01 1.00000000e-01 1.00000000e-01)	2
9.13618e-06     	p               	9.98392684e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(4.20900000e-01 1.00000000e-01 1.00000000e-01)	1
9.13618e-06     	U               	(-3.71224753e-01 1.00896616e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(9.08697300e+00 7.91734642e-15 7.91734642e-15)	(4.96900000e-01 1.00000000e-01 1.00000000e-01)	1
9.13618e-06     	T               	2.85338527e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00846791e+02	(5.00900000e-01 1.00000000e-01 1.00000000e-01)	2
