# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
2.82018e-06     	T               	2.85193294e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00611905e+02	(5.00300000e-01 1.00000000e-01 1.00000000e-01)	1
3.4185e-06      	p               	1.00000000e+05	(5.47100000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(7.10000000e-03 1.00000000e-01 1.00000000e-01)	0
3.4185e-06      	U               	(-2.16206700e-13 -2.54634296e-28 -2.54634296e-28)	(2.64500000e-01 1.00000000e-01 1.00000000e-01)	1	(1.85765664e+01 1.02057620e-14 1.02057620e-14)	(4.99300000e-01 1.00000000e-01 1.00000000e-01)	1
3.4185e-06      	T               	2.85219471e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00867799e+02	(5.00500000e-01 1.00000000e-01 1.00000000e-01)	2
4.07665e-06     	p               	1.00000000e+05	(5.69700000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(4.33000000e-02 1.00000000e-01 1.00000000e-01)	0
4.07665e-06     	U               	(-2.14360992e-13 -7.00244315e-29 -7.00244315e-29)	(2.27000000e-02 1.00000000e-01 1.00000000e-01)	0	(2.06897924e+01 6.26974995e-15 6.26974995e-15)	(4.99300000e-01 1.00000000e-01 1.00000000e-01)	1
4.07665e-06     	T               	2.85240810e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00874200e+02	(5.00500000e-01 1.00000000e-01 1.00000000e-01)	2
4.81707e-06     	p               	1.00000000e+05	(5.69500000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(7.70000000e-03 1.00000000e-01 1.00000000e-01)	0
4.81707e-06     	U               	(-2.25218696e-13 -2.36332456e-28 -2.36332456e-28)	(2.10500000e-01 1.00000000e-01 1.00000000e-01)	0	(5.45308189e+00 3.88359851e-15 3.88359851e-15)	(4.98100000e-01 1.00000000e-01 1.00000000e-01)	1
4.81707e-06     	T               	2.85265506e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00878128e+02	(5.00700000e-01 1.00000000e-01 1.00000000e-01)	2
5.68089e-06     	p               	1.00000000e+05	(5.70300000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(5.50000000e-03 1.00000000e-01 1.00000000e-01)	0
5.68089e-06     	U               	(-2.17182195e-13 -1.22542755e-28 -6.12713775e-29)	(7.05000000e-02 1.00000000e-01 1.00000000e-01)	0	(9.38181110e+00 5.60293676e-15 5.60293676e-15)	(4.98100000e-01 1.00000000e-01 1.00000000e-01)	1
5.68089e-06     	T               	2.85289608e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00881436e+02	(5.00700000e-01 1.00000000e-01 1.00000000e-01)	2
6.54471e-06     	p               	1.00000000e+05	(5.83300000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(5.10000000e-03 1.00000000e-01 1.00000000e-01)	0
6.54471e-06     	U               	(-2.01255133e-13 -2.45085510e-28 -1.22542755e-28)	(1.33100000e-01 1.00000000e-01 1.00000000e-01)	0	(1.32807352e+01 5.65286696e-15 5.65286696e-15)	(4.98100000e-01 1.00000000e-01 1.00000000e-01)	1
6.54471e-06     	T               	2.85305943e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00862482e+02	(5.00900000e-01 1.00000000e-01 1.00000000e-01)	2
7.40853e-06     	p               	1.00000000e+05	(5.44500000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(3.30000000e-03 1.00000000e-01 1.00000000e-01)	0
7.40853e-06     	U               	(-1.75102789e-13 -1.83814133e-28 -6.12713775e-29)	(7.09000000e-02 1.00000000e-01 1.00000000e-01)	0	(3.89410717e+00 5.16585671e-15 5.16585671e-15)	(4.96900000e-01 1.00000000e-01 1.00000000e-01)	1
7.40853e-06     	T               	2.85317773e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00860709e+02	(5.00900000e-01 1.00000000e-01 1.00000000e-01)	2
8.27236e-06     	p               	1.00000000e+05	(5.98700000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(6.50000000e-03 1.00000000e-01 1.00000000e-01)	0
8.27236e-06     	U               	(-2.15795325e-13 -1.22542755e-28 -2.45085510e-28)	(3.10000000e-03 1.00000000e-01 1.00000000e-01)	0	(6.30948639e+00 6.82082530e-15 6.82082530e-15)	(4.96900000e-01 1.00000000e-01 1.00000000e-01)	1
8.27236e-06     	T               	2.85327959e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00853960e+02	(5.00900000e-01 1.00000000e-01 1.00000000e-01)	2
9.13618e-06     	p               	1.00000000e+05	(6.82300000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(4.50000000e-03 1.00000000e-01 1.00000000e-01)	0
9.13618e-06     	U               	(-2.22134694e-13 -1.83814133e-28 -1.83814133e-28)	(5.79000000e-02 1.00000000e-01 1.00000000e-01)	0	(9.08697300e+00 7.91734642e-15 7.91734642e-15)	(4.96900000e-01 1.00000000e-01 1.00000000e-01)	1
9.13618e-06     	T               	2.85338527e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00846791e+02	(5.00900000e-01 1.00000000e-01 1.00000000e-01)	2
1e-05           	p               	1.00000000e+05	(7.71900000e-01 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(4.10000000e-03 1.00000000e-01 1.00000000e-01)	0
1e-05           	U               	(-1.95832485e-13 -3.67628265e-28 -1.22542755e-28)	(2.65300000e-01 1.00000000e-01 1.00000000e-01)	1	(1.19515623e+01 8.25529100e-15 8.25529100e-15)	(4.96900000e-01 1.00000000e-01 1.00000000e-01)	1
1e-05           	T               	2.85349518e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00838394e+02	(5.00900000e-01 1.00000000e-01 1.00000000e-01)	2
1.1e-05         	p               	1.00000000e+05	(5.47100000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(5.70000000e-03 1.00000000e-01 1.00000000e-01)	0
1.1e-05         	U               	(-3.21886633e-13 -4.96514058e-28 -2.48257029e-28)	(1.82500000e-01 1.00000000e-01 1.00000000e-01)	0	(1.49894365e+01 8.85502939e-15 8.85502939e-15)	(4.96900000e-01 1.00000000e-01 1.00000000e-01)	1
1.1e-05         	T               	2.85359929e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00833513e+02	(5.01100000e-01 1.00000000e-01 1.00000000e-01)	2
1.2125e-05      	p               	1.00000000e+05	(7.72500000e-01 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.13000000e-02 1.00000000e-01 1.00000000e-01)	0
1.2125e-05      	U               	(-3.17917553e-13 -2.79289157e-28 -8.37867472e-28)	(3.16500000e-01 1.00000000e-01 1.00000000e-01)	1	(7.68161630e+00 3.86425855e-15 1.15927756e-14)	(4.95700000e-01 1.00000000e-01 1.00000000e-01)	1
1.2125e-05      	T               	2.85368241e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00830249e+02	(5.01100000e-01 1.00000000e-01 1.00000000e-01)	2
1.325e-05       	p               	1.00000000e+05	(7.55100000e-01 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.89000000e-02 1.00000000e-01 1.00000000e-01)	0
1.325e-05       	U               	(-4.24111949e-13 -1.59593804e-28 -4.78781413e-28)	(4.47300000e-01 1.00000000e-01 1.00000000e-01)	1	(1.06190464e+01 4.21142719e-15 1.26342816e-14)	(4.95700000e-01 1.00000000e-01 1.00000000e-01)	1
1.325e-05       	T               	2.85374399e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00826392e+02	(5.01100000e-01 1.00000000e-01 1.00000000e-01)	2
1.4375e-05      	p               	1.00000000e+05	(5.31500000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(1.11000000e-02 1.00000000e-01 1.00000000e-01)	0
1.4375e-05      	U               	(-1.97178178e-13 -2.39390706e-28 -2.39390706e-28)	(2.10000000e-03 1.00000000e-01 1.00000000e-01)	0	(1.34726022e+01 4.13804808e-15 1.24141442e-14)	(4.95700000e-01 1.00000000e-01 1.00000000e-01)	1
1.4375e-05      	T               	2.85379516e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00821564e+02	(5.01300000e-01 1.00000000e-01 1.00000000e-01)	2
1.55e-05        	p               	1.00000000e+05	(6.55100000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(1.07000000e-02 1.00000000e-01 1.00000000e-01)	0
1.55e-05        	U               	(-3.83421897e-13 -4.78781413e-28 -4.78781413e-28)	(2.51900000e-01 1.00000000e-01 1.00000000e-01)	1	(1.73456654e+01 6.82136868e-15 6.82136868e-15)	(4.95900000e-01 1.00000000e-01 1.00000000e-01)	1
1.55e-05        	T               	2.85383986e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00820848e+02	(5.01300000e-01 1.00000000e-01 1.00000000e-01)	2
1.6625e-05      	p               	1.00000000e+05	(5.43500000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(2.71700000e-01 1.00000000e-01 1.00000000e-01)	1
1.6625e-05      	U               	(-2.70059865e-13 -1.99492255e-28 -5.98476766e-28)	(2.67500000e-01 1.00000000e-01 1.00000000e-01)	1	(6.42251773e+00 5.59262997e-15 5.59262997e-15)	(4.93900000e-01 1.00000000e-01 1.00000000e-01)	1
1.6625e-05      	T               	2.85387999e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00819756e+02	(5.01300000e-01 1.00000000e-01 1.00000000e-01)	2
1.775e-05       	p               	1.00000000e+05	(6.15100000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(1.57000000e-02 1.00000000e-01 1.00000000e-01)	0
1.775e-05       	U               	(-3.46393347e-13 -5.98476766e-28 -5.98476766e-28)	(3.65300000e-01 1.00000000e-01 1.00000000e-01)	1	(8.64068209e+00 6.31565976e-15 6.31565976e-15)	(4.93900000e-01 1.00000000e-01 1.00000000e-01)	1
1.775e-05       	T               	2.85391467e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00817996e+02	(5.01300000e-01 1.00000000e-01 1.00000000e-01)	2
1.8875e-05      	p               	1.00000000e+05	(7.84300000e-01 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.57000000e-02 1.00000000e-01 1.00000000e-01)	0
1.8875e-05      	U               	(-2.56911620e-13 -5.74537695e-28 -5.74537695e-28)	(8.69500000e-01 1.00000000e-01 1.00000000e-01)	3	(1.09557367e+01 6.64665850e-15 6.64665850e-15)	(4.93900000e-01 1.00000000e-01 1.00000000e-01)	1
1.8875e-05      	T               	2.85394277e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00815503e+02	(5.01300000e-01 1.00000000e-01 1.00000000e-01)	2
2e-05           	p               	1.00000000e+05	(8.96300000e-01 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.57000000e-02 1.00000000e-01 1.00000000e-01)	0
2e-05           	U               	(-3.53038571e-13 -3.98984511e-28 -1.99492255e-28)	(7.70000000e-03 1.00000000e-01 1.00000000e-01)	0	(1.32211110e+01 6.56078007e-15 6.56078007e-15)	(4.93900000e-01 1.00000000e-01 1.00000000e-01)	1
2e-05           	T               	2.85397116e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00814252e+02	(5.01500000e-01 1.00000000e-01 1.00000000e-01)	2
2.125e-05       	p               	1.00000000e+05	(6.15700000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(1.49000000e-02 1.00000000e-01 1.00000000e-01)	0
2.125e-05       	U               	(-3.93391021e-13 -4.43316123e-28 -4.92148267e-40)	(2.67900000e-01 1.00000000e-01 1.00000000e-01)	1	(1.08332513e+01 3.39103876e-15 1.01731163e-14)	(4.93100000e-01 1.00000000e-01 1.00000000e-01)	1
2.125e-05       	T               	2.85400228e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00813505e+02	(5.01500000e-01 1.00000000e-01 1.00000000e-01)	2
2.25e-05        	p               	1.00000000e+05	(6.12500000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(1.83000000e-02 1.00000000e-01 1.00000000e-01)	0
2.25e-05        	U               	(-3.78199302e-13 -3.54652898e-28 -7.09305796e-28)	(4.63000000e-02 1.00000000e-01 1.00000000e-01)	0	(1.31455837e+01 3.34786585e-15 1.00435976e-14)	(4.93100000e-01 1.00000000e-01 1.00000000e-01)	1
2.25e-05        	T               	2.85403150e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00811547e+02	(5.01500000e-01 1.00000000e-01 1.00000000e-01)	2
2.375e-05       	p               	1.00000000e+05	(5.36100000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(1.45000000e-02 1.00000000e-01 1.00000000e-01)	0
2.375e-05       	U               	(-4.37750145e-13 -5.31979347e-28 -5.31979347e-28)	(2.70700000e-01 1.00000000e-01 1.00000000e-01)	1	(1.20274041e+01 6.41487589e-15 6.41487589e-15)	(4.92500000e-01 1.00000000e-01 1.00000000e-01)	1
2.375e-05       	T               	2.85404767e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00808715e+02	(5.01500000e-01 1.00000000e-01 1.00000000e-01)	2
2.5e-05         	p               	1.00000000e+05	(5.97500000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(1.39000000e-02 1.00000000e-01 1.00000000e-01)	0
2.5e-05         	U               	(-3.89178360e-13 -7.09305796e-28 -3.54652898e-28)	(1.86300000e-01 1.00000000e-01 1.00000000e-01)	0	(1.30969460e+01 6.21912411e-15 6.21912411e-15)	(4.92300000e-01 1.00000000e-01 1.00000000e-01)	1
2.5e-05         	T               	2.85405650e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00807086e+02	(5.01700000e-01 1.00000000e-01 1.00000000e-01)	2
2.625e-05       	p               	1.00000000e+05	(5.96500000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(1.71000000e-02 1.00000000e-01 1.00000000e-01)	0
2.625e-05       	U               	(-4.50461885e-13 2.30576377e-42 -1.32994837e-28)	(5.90000000e-03 1.00000000e-01 1.00000000e-01)	0	(1.50925043e+01 5.81155845e-15 5.81155845e-15)	(4.92300000e-01 1.00000000e-01 1.00000000e-01)	1
2.625e-05       	T               	2.85406249e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00806659e+02	(5.01700000e-01 1.00000000e-01 1.00000000e-01)	2
2.75e-05        	p               	1.00000000e+05	(5.98900000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(1.65000000e-02 1.00000000e-01 1.00000000e-01)	0
2.75e-05        	U               	(-2.83710694e-13 -6.38375217e-28 -6.38375217e-28)	(8.44300000e-01 1.00000000e-01 1.00000000e-01)	3	(1.68540481e+01 5.15605022e-15 5.15605022e-15)	(4.92300000e-01 1.00000000e-01 1.00000000e-01)	1
2.75e-05        	T               	2.85406783e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00806049e+02	(5.01700000e-01 1.00000000e-01 1.00000000e-01)	2
2.875e-05       	p               	1.00000000e+05	(6.10700000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(1.90100000e-01 1.00000000e-01 1.00000000e-01)	0
2.875e-05       	U               	(-3.43950986e-13 -4.87647735e-28 -4.87647735e-28)	(1.88300000e-01 1.00000000e-01 1.00000000e-01)	0	(9.31036405e+00 5.25134547e-15 5.25134547e-15)	(4.90300000e-01 1.00000000e-01 1.00000000e-01)	1
2.875e-05       	T               	2.85407327e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00804948e+02	(5.01700000e-01 1.00000000e-01 1.00000000e-01)	2
3e-05           	p               	1.00000000e+05	(5.78500000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(2.35500000e-01 1.00000000e-01 1.00000000e-01)	0
3e-05           	U               	(-1.93317105e-13 -4.43316123e-28 -2.21658061e-28)	(7.70000000e-03 1.00000000e-01 1.00000000e-01)	0	(1.11929851e+01 5.40978093e-15 5.40978093e-15)	(4.90300000e-01 1.00000000e-01 1.00000000e-01)	1
3e-05           	T               	2.85408205e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00803645e+02	(5.01900000e-01 1.00000000e-01 1.00000000e-01)	2
3.14286e-05     	p               	1.00000000e+05	(5.38300000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(2.34300000e-01 1.00000000e-01 1.00000000e-01)	0
3.14286e-05     	U               	(-2.84555000e-13 -7.29571676e-28 -7.29571676e-28)	(7.91500000e-01 1.00000000e-01 1.00000000e-01)	3	(6.60255142e+00 4.76571774e-15 7.14857660e-15)	(4.88700000e-01 1.00000000e-01 1.00000000e-01)	1
3.14286e-05     	T               	2.85409780e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00803503e+02	(5.01900000e-01 1.00000000e-01 1.00000000e-01)	2
3.28571e-05     	p               	1.00000000e+05	(5.39100000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(4.32700000e-01 1.00000000e-01 1.00000000e-01)	1
3.28571e-05     	U               	(-5.51148291e-13 0.00000000e+00 -3.03988198e-28)	(8.95000000e-02 1.00000000e-01 1.00000000e-01)	0	(8.44780589e+00 5.25175970e-15 7.87763955e-15)	(4.88700000e-01 1.00000000e-01 1.00000000e-01)	1
3.28571e-05     	T               	2.85411216e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00802605e+02	(5.01900000e-01 1.00000000e-01 1.00000000e-01)	2
